cell_type	target	filetype	download_link	source	assembly
GM12878	EP300	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF332HKJ/@@download/ENCFF332HKJ.bigBed	ENCODE	hg19
GM12878	EP300	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF508TEV/@@download/ENCFF508TEV.bigWig	ENCODE	hg19
GM12878	H3K79me2	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF741YFD/@@download/ENCFF741YFD.bigBed	ENCODE	hg19
GM12878	H3K79me2	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF396JIR/@@download/ENCFF396JIR.bigWig	ENCODE	hg19
GM12878	TRIM22	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF618ORZ/@@download/ENCFF618ORZ.bigBed	ENCODE	hg19
GM12878	TRIM22	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF896KWL/@@download/ENCFF896KWL.bigWig	ENCODE	hg19
GM12878	ZZZ3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF050KOG/@@download/ENCFF050KOG.bigBed	ENCODE	hg19
GM12878	ZZZ3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF971DNG/@@download/ENCFF971DNG.bigWig	ENCODE	hg19
GM12878	CREM	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF531NIE/@@download/ENCFF531NIE.bigBed	ENCODE	hg19
GM12878	CREM	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF403JWE/@@download/ENCFF403JWE.bigWig	ENCODE	hg19
GM12878	RFX5	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF130WGW/@@download/ENCFF130WGW.bigBed	ENCODE	hg19
GM12878	RFX5	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF972UXB/@@download/ENCFF972UXB.bigWig	ENCODE	hg19
GM12878	PAX8	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF811HKX/@@download/ENCFF811HKX.bigBed	ENCODE	hg19
GM12878	PAX8	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF463YMM/@@download/ENCFF463YMM.bigWig	ENCODE	hg19
GM12878	UBTF	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF802EUE/@@download/ENCFF802EUE.bigBed	ENCODE	hg19
GM12878	UBTF	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF127MEU/@@download/ENCFF127MEU.bigWig	ENCODE	hg19
GM12878	ZNF143	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF564ZYC/@@download/ENCFF564ZYC.bigBed	ENCODE	hg19
GM12878	ZNF143	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF639ZAX/@@download/ENCFF639ZAX.bigWig	ENCODE	hg19
GM12878	SRF	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF059TGS/@@download/ENCFF059TGS.bigBed	ENCODE	hg19
GM12878	SRF	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF158HLI/@@download/ENCFF158HLI.bigWig	ENCODE	hg19
GM12878	SUPT20H	peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF000WDQ/@@download/ENCFF000WDQ.bigBed	ENCODE	hg19
GM12878	SIX5	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF808EYW/@@download/ENCFF808EYW.bigBed	ENCODE	hg19
GM12878	SIX5	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF371AOB/@@download/ENCFF371AOB.bigWig	ENCODE	hg19
GM12878	STAT5A	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF421TDT/@@download/ENCFF421TDT.bigBed	ENCODE	hg19
GM12878	STAT5A	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF113XQT/@@download/ENCFF113XQT.bigWig	ENCODE	hg19
GM12878	HDAC6	pseudoreplicated IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF017NYS/@@download/ENCFF017NYS.bigBed	ENCODE	hg19
GM12878	HDAC6	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF449ZFX/@@download/ENCFF449ZFX.bigWig	ENCODE	hg19
GM12878	STAT1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF249OMS/@@download/ENCFF249OMS.bigBed	ENCODE	hg19
GM12878	STAT1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF281ULQ/@@download/ENCFF281ULQ.bigWig	ENCODE	hg19
GM12878	POLR2A	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF719TKY/@@download/ENCFF719TKY.bigBed	ENCODE	hg19
GM12878	POLR2A	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF368HBX/@@download/ENCFF368HBX.bigWig	ENCODE	hg19
GM12878	EGR1	pseudoreplicated IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF656NCQ/@@download/ENCFF656NCQ.bigBed	ENCODE	hg19
GM12878	EGR1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF624CPW/@@download/ENCFF624CPW.bigWig	ENCODE	hg19
GM12878	TCF7	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF448TPQ/@@download/ENCFF448TPQ.bigBed	ENCODE	hg19
GM12878	TCF7	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF758RBF/@@download/ENCFF758RBF.bigWig	ENCODE	hg19
GM12878	SMC3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF470DIG/@@download/ENCFF470DIG.bigBed	ENCODE	hg19
GM12878	SMC3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF235BXX/@@download/ENCFF235BXX.bigWig	ENCODE	hg19
GM12878	ZNF384	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF099BRN/@@download/ENCFF099BRN.bigBed	ENCODE	hg19
GM12878	ZNF384	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF957MTQ/@@download/ENCFF957MTQ.bigWig	ENCODE	hg19
GM12878	NR2C2	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF588OWL/@@download/ENCFF588OWL.bigBed	ENCODE	hg19
GM12878	NR2C2	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF861LRM/@@download/ENCFF861LRM.bigWig	ENCODE	hg19
GM12878	BCLAF1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF167BQX/@@download/ENCFF167BQX.bigBed	ENCODE	hg19
GM12878	BCLAF1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF534OEO/@@download/ENCFF534OEO.bigWig	ENCODE	hg19
GM12878	NBN	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF243AQY/@@download/ENCFF243AQY.bigBed	ENCODE	hg19
GM12878	NBN	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF601VCM/@@download/ENCFF601VCM.bigWig	ENCODE	hg19
GM12878	MAFK	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF219PET/@@download/ENCFF219PET.bigBed	ENCODE	hg19
GM12878	MAFK	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF600DHH/@@download/ENCFF600DHH.bigWig	ENCODE	hg19
GM12878	TBL1XR1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF798BTY/@@download/ENCFF798BTY.bigBed	ENCODE	hg19
GM12878	TBL1XR1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF816KEF/@@download/ENCFF816KEF.bigWig	ENCODE	hg19
GM12878	REST	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF116OSK/@@download/ENCFF116OSK.bigBed	ENCODE	hg19
GM12878	REST	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF320YSB/@@download/ENCFF320YSB.bigWig	ENCODE	hg19
GM12878	HSF1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF718CMI/@@download/ENCFF718CMI.bigBed	ENCODE	hg19
GM12878	HSF1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF455ZPQ/@@download/ENCFF455ZPQ.bigWig	ENCODE	hg19
GM12878	IKZF1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF591MWQ/@@download/ENCFF591MWQ.bigBed	ENCODE	hg19
GM12878	IKZF1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF405CHV/@@download/ENCFF405CHV.bigWig	ENCODE	hg19
GM12878	MLLT1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF251PIF/@@download/ENCFF251PIF.bigBed	ENCODE	hg19
GM12878	MLLT1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF319DUB/@@download/ENCFF319DUB.bigWig	ENCODE	hg19
GM12878	RUNX3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF458CFK/@@download/ENCFF458CFK.bigBed	ENCODE	hg19
GM12878	RUNX3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF238SAO/@@download/ENCFF238SAO.bigWig	ENCODE	hg19
GM12878	E4F1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF074KEB/@@download/ENCFF074KEB.bigBed	ENCODE	hg19
GM12878	E4F1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF167WPQ/@@download/ENCFF167WPQ.bigWig	ENCODE	hg19
GM12878	H3K9ac	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF159APG/@@download/ENCFF159APG.bigBed	ENCODE	hg19
GM12878	H3K9ac	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF465KNK/@@download/ENCFF465KNK.bigWig	ENCODE	hg19
GM12878	PAX5	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF226YNH/@@download/ENCFF226YNH.bigBed	ENCODE	hg19
GM12878	PAX5	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF267GFQ/@@download/ENCFF267GFQ.bigWig	ENCODE	hg19
GM12878	BCL3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF963QXH/@@download/ENCFF963QXH.bigBed	ENCODE	hg19
GM12878	BCL3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF366FDQ/@@download/ENCFF366FDQ.bigWig	ENCODE	hg19
GM12878	H3K4me1	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF220EYY/@@download/ENCFF220EYY.bigBed	ENCODE	hg19
GM12878	H3K4me1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF682WPF/@@download/ENCFF682WPF.bigWig	ENCODE	hg19
GM12878	STAT3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF970MDY/@@download/ENCFF970MDY.bigBed	ENCODE	hg19
GM12878	STAT3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF133SDO/@@download/ENCFF133SDO.bigWig	ENCODE	hg19
GM12878	SMAD5	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF388FCW/@@download/ENCFF388FCW.bigBed	ENCODE	hg19
GM12878	SMAD5	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF865SUF/@@download/ENCFF865SUF.bigWig	ENCODE	hg19
GM12878	RXRA	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF587XVH/@@download/ENCFF587XVH.bigBed	ENCODE	hg19
GM12878	RXRA	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF899EVQ/@@download/ENCFF899EVQ.bigWig	ENCODE	hg19
GM12878	RBBP5	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF259XKL/@@download/ENCFF259XKL.bigBed	ENCODE	hg19
GM12878	RBBP5	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF042FRR/@@download/ENCFF042FRR.bigWig	ENCODE	hg19
GM12878	CHD1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF058AIB/@@download/ENCFF058AIB.bigBed	ENCODE	hg19
GM12878	CHD1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF405ZKS/@@download/ENCFF405ZKS.bigWig	ENCODE	hg19
GM12878	ZEB1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF807LKR/@@download/ENCFF807LKR.bigBed	ENCODE	hg19
GM12878	ZEB1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF167NPM/@@download/ENCFF167NPM.bigWig	ENCODE	hg19
GM12878	CEBPB	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF776SJV/@@download/ENCFF776SJV.bigBed	ENCODE	hg19
GM12878	CEBPB	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF481MMI/@@download/ENCFF481MMI.bigWig	ENCODE	hg19
GM12878	ETV6	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF862YUS/@@download/ENCFF862YUS.bigBed	ENCODE	hg19
GM12878	ETV6	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF486PYA/@@download/ENCFF486PYA.bigWig	ENCODE	hg19
GM12878	POLR2AphosphoS2	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF158UFB/@@download/ENCFF158UFB.bigBed	ENCODE	hg19
GM12878	POLR2AphosphoS2	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF031RUV/@@download/ENCFF031RUV.bigWig	ENCODE	hg19
GM12878	BRCA1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF301RKI/@@download/ENCFF301RKI.bigBed	ENCODE	hg19
GM12878	BRCA1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF314JBH/@@download/ENCFF314JBH.bigWig	ENCODE	hg19
GM12878	PBX3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF154ZCV/@@download/ENCFF154ZCV.bigBed	ENCODE	hg19
GM12878	PBX3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF022SDG/@@download/ENCFF022SDG.bigWig	ENCODE	hg19
GM12878	NFYB	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF617QWH/@@download/ENCFF617QWH.bigBed	ENCODE	hg19
GM12878	NFYB	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF112JWF/@@download/ENCFF112JWF.bigWig	ENCODE	hg19
GM12878	H3K36me3	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF425TVP/@@download/ENCFF425TVP.bigBed	ENCODE	hg19
GM12878	H3K36me3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF662QFK/@@download/ENCFF662QFK.bigWig	ENCODE	hg19
GM12878	EZH2	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF134RHC/@@download/ENCFF134RHC.bigBed	ENCODE	hg19
GM12878	EZH2	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF410SZR/@@download/ENCFF410SZR.bigWig	ENCODE	hg19
GM12878	FOS	optimal IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF083XJS/@@download/ENCFF083XJS.bigBed	ENCODE	hg19
GM12878	IRF4	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF620GIC/@@download/ENCFF620GIC.bigBed	ENCODE	hg19
GM12878	IRF4	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF291ILI/@@download/ENCFF291ILI.bigWig	ENCODE	hg19
GM12878	ELK1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF229LMM/@@download/ENCFF229LMM.bigBed	ENCODE	hg19
GM12878	ELK1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF979FNK/@@download/ENCFF979FNK.bigWig	ENCODE	hg19
GM12878	ZNF274	optimal IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF821VIC/@@download/ENCFF821VIC.bigBed	ENCODE	hg19
GM12878	NFATC1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF742OFT/@@download/ENCFF742OFT.bigBed	ENCODE	hg19
